sample_codes	samples	Subtype_miRNA	Subtype_mRNA	Subtype_DNAmeth	Subtype_Selected
TCGA.DD.AAD5.01	TCGA-DD-AAD5	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD6.01	TCGA-DD-AAD6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAD8.01	TCGA-DD-AAD8	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADA.01	TCGA-DD-AADA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADB.01	TCGA-DD-AADB	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADC.01	TCGA-DD-AADC	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADD.01	TCGA-DD-AADD	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADF.01	TCGA-DD-AADF	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADG.01	TCGA-DD-AADG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADI.01	TCGA-DD-AADI	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADJ.01	TCGA-DD-AADJ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADK.01	TCGA-DD-AADK	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADL.01	TCGA-DD-AADL	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADM.01	TCGA-DD-AADM	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADN.01	TCGA-DD-AADN	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADO.01	TCGA-DD-AADO	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADP.01	TCGA-DD-AADP	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADQ.01	TCGA-DD-AADQ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADR.01	TCGA-DD-AADR	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADS.01	TCGA-DD-AADS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADU.01	TCGA-DD-AADU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADV.01	TCGA-DD-AADV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADW.01	TCGA-DD-AADW	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADY.01	TCGA-DD-AADY	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE0.01	TCGA-DD-AAE0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE1.01	TCGA-DD-AAE1	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE2.01	TCGA-DD-AAE2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE3.01	TCGA-DD-AAE3	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE4.01	TCGA-DD-AAE4	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE6.01	TCGA-DD-AAE6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE7.01	TCGA-DD-AAE7	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE9.01	TCGA-DD-AAE9	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEA.01	TCGA-DD-AAEA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEB.01	TCGA-DD-AAEB	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAED.01	TCGA-DD-AAED	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEE.01	TCGA-DD-AAEE	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEG.01	TCGA-DD-AAEG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEH.01	TCGA-DD-AAEH	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEI.01	TCGA-DD-AAEI	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAEK.01	TCGA-DD-AAEK	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVP.01	TCGA-DD-AAVP	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVQ.01	TCGA-DD-AAVQ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVR.01	TCGA-DD-AAVR	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVS.01	TCGA-DD-AAVS	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVU.01	TCGA-DD-AAVU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVV.01	TCGA-DD-AAVV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVW.01	TCGA-DD-AAVW	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVX.01	TCGA-DD-AAVX	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVY.01	TCGA-DD-AAVY	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAVZ.01	TCGA-DD-AAVZ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAW0.01	TCGA-DD-AAW0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAW1.01	TCGA-DD-AAW1	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAW2.01	TCGA-DD-AAW2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAW3.01	TCGA-DD-AAW3	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ED.A459.01	TCGA-ED-A459	3	1	4	LIHC.iCluster:2
TCGA.ED.A4XI.01	TCGA-ED-A4XI	5	3	1	LIHC.iCluster:1
TCGA.ED.A5KG.01	TCGA-ED-A5KG	3	1	1	LIHC.iCluster:1
TCGA.ED.A627.01	TCGA-ED-A627	5	3	2	LIHC.iCluster:1
TCGA.ED.A66X.01	TCGA-ED-A66X	3	1	1	LIHC.iCluster:1
TCGA.ED.A66Y.01	TCGA-ED-A66Y	4	1	3	LIHC.iCluster:1
TCGA.ED.A7PX.01	TCGA-ED-A7PX	3	1	1	LIHC.iCluster:1
TCGA.ED.A7PY.01	TCGA-ED-A7PY	1	1	3	LIHC.iCluster:1
TCGA.ED.A7PZ.01	TCGA-ED-A7PZ	1	5	2	LIHC.iCluster:3
TCGA.ED.A7XO.01	TCGA-ED-A7XO	2	mRNA.NA	2	LIHC.NA
TCGA.ED.A7XP.01	TCGA-ED-A7XP	3	5	1	LIHC.iCluster:1
TCGA.ED.A82E.01	TCGA-ED-A82E	5	1	3	LIHC.iCluster:1
TCGA.ED.A8O5.01	TCGA-ED-A8O5	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ED.A8O6.01	TCGA-ED-A8O6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ED.A97K.01	TCGA-ED-A97K	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.EP.A12J.11	TCGA-EP-A12J	1	5	4	LIHC.iCluster:2
TCGA.EP.A12J.01	TCGA-EP-A12J	1	5	4	LIHC.iCluster:2
TCGA.EP.A26S.11	TCGA-EP-A26S	1	5	4	LIHC.iCluster:3
TCGA.EP.A26S.01	TCGA-EP-A26S	1	5	4	LIHC.iCluster:3
TCGA.EP.A2KA.01	TCGA-EP-A2KA	3	1	4	LIHC.iCluster:2
TCGA.EP.A2KB.01	TCGA-EP-A2KB	2	1	4	LIHC.iCluster:2
TCGA.EP.A2KC.01	TCGA-EP-A2KC	3	5	4	LIHC.iCluster:3
TCGA.EP.A3JL.01	TCGA-EP-A3JL	5	3	2	LIHC.iCluster:2
TCGA.EP.A3RK.11	TCGA-EP-A3RK	3	5	4	LIHC.iCluster:2
TCGA.EP.A3RK.01	TCGA-EP-A3RK	3	5	4	LIHC.iCluster:2
TCGA.ES.A2HS.01	TCGA-ES-A2HS	2	3	4	LIHC.iCluster:2
TCGA.ES.A2HT.11	TCGA-ES-A2HT	2	3	2	LIHC.iCluster:1
TCGA.ES.A2HT.01	TCGA-ES-A2HT	2	3	2	LIHC.iCluster:1
TCGA.FV.A23B.11	TCGA-FV-A23B	1	1	4	LIHC.iCluster:2
TCGA.FV.A23B.01	TCGA-FV-A23B	1	1	4	LIHC.iCluster:2
TCGA.FV.A2QQ.01	TCGA-FV-A2QQ	2	3	4	LIHC.iCluster:2
TCGA.FV.A2QR.11	TCGA-FV-A2QR	2	4	2	LIHC.iCluster:3
TCGA.FV.A2QR.01	TCGA-FV-A2QR	2	4	2	LIHC.iCluster:3
TCGA.FV.A3I0.11	TCGA-FV-A3I0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.FV.A3I0.01	TCGA-FV-A3I0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.FV.A3I1.11	TCGA-FV-A3I1	3	3	2	LIHC.iCluster:3
TCGA.FV.A3I1.01	TCGA-FV-A3I1	3	3	2	LIHC.iCluster:3
TCGA.FV.A3R2.11	TCGA-FV-A3R2	miRNA.NA	4	4	LIHC.NA
TCGA.FV.A3R2.01	TCGA-FV-A3R2	miRNA.NA	4	4	LIHC.NA
TCGA.FV.A3R3.01	TCGA-FV-A3R3	miRNA.NA	1	1	LIHC.NA
TCGA.FV.A495.01	TCGA-FV-A495	5	3	2	LIHC.iCluster:2
TCGA.FV.A496.01	TCGA-FV-A496	3	4	4	LIHC.iCluster:2
TCGA.FV.A4ZP.01	TCGA-FV-A4ZP	3	1	3	LIHC.iCluster:1
TCGA.FV.A4ZQ.01	TCGA-FV-A4ZQ	1	5	1	LIHC.iCluster:2
TCGA.G3.A25S.01	TCGA-G3-A25S	3	4	2	LIHC.iCluster:3
TCGA.G3.A25T.01	TCGA-G3-A25T	5	1	3	LIHC.iCluster:1
TCGA.G3.A25U.01	TCGA-G3-A25U	1	4	4	LIHC.iCluster:3
TCGA.G3.A25V.01	TCGA-G3-A25V	5	3	2	LIHC.iCluster:2
TCGA.G3.A25X.01	TCGA-G3-A25X	5	1	3	LIHC.iCluster:1
TCGA.G3.A25Y.01	TCGA-G3-A25Y	5	1	3	LIHC.iCluster:1
TCGA.G3.A25Z.01	TCGA-G3-A25Z	3	3	4	LIHC.iCluster:3
TCGA.G3.A3CG.01	TCGA-G3-A3CG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.A3CH.11	TCGA-G3-A3CH	5	4	1	LIHC.iCluster:1
TCGA.G3.A3CH.01	TCGA-G3-A3CH	5	4	1	LIHC.iCluster:1
TCGA.G3.A3CI.01	TCGA-G3-A3CI	2	4	2	LIHC.iCluster:1
TCGA.G3.A3CJ.01	TCGA-G3-A3CJ	2	5	4	LIHC.iCluster:2
TCGA.G3.A3CK.01	TCGA-G3-A3CK	2	5	4	LIHC.iCluster:2
TCGA.G3.A5SI.01	TCGA-G3-A5SI	4	4	3	LIHC.iCluster:2
TCGA.G3.A5SJ.01	TCGA-G3-A5SJ	3	1	2	LIHC.iCluster:3
TCGA.G3.A5SK.01	TCGA-G3-A5SK	2	4	4	LIHC.NA
TCGA.G3.A5SL.01	TCGA-G3-A5SL	2	5	4	LIHC.iCluster:2
TCGA.G3.A5SM.01	TCGA-G3-A5SM	3	3	4	LIHC.iCluster:2
TCGA.G3.A6UC.01	TCGA-G3-A6UC	2	5	2	LIHC.iCluster:3
TCGA.G3.A7M5.01	TCGA-G3-A7M5	1	4	2	LIHC.iCluster:3
TCGA.G3.A7M6.01	TCGA-G3-A7M6	5	1	2	LIHC.iCluster:3
TCGA.G3.A7M7.01	TCGA-G3-A7M7	2	3	4	LIHC.iCluster:2
TCGA.G3.A7M8.01	TCGA-G3-A7M8	2	4	2	LIHC.iCluster:2
TCGA.G3.A7M9.01	TCGA-G3-A7M9	3	1	2	LIHC.iCluster:1
TCGA.G3.AAUZ.01	TCGA-G3-AAUZ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV0.01	TCGA-G3-AAV0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV1.01	TCGA-G3-AAV1	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV2.01	TCGA-G3-AAV2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV3.01	TCGA-G3-AAV3	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV4.01	TCGA-G3-AAV4	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV5.01	TCGA-G3-AAV5	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV6.01	TCGA-G3-AAV6	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.G3.AAV7.01	TCGA-G3-AAV7	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.GJ.A3OU.01	TCGA-GJ-A3OU	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.GJ.A6C0.01	TCGA-GJ-A6C0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.GJ.A9DB.01	TCGA-GJ-A9DB	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.HP.A5MZ.01	TCGA-HP-A5MZ	5	3	4	LIHC.iCluster:1
TCGA.HP.A5N0.01	TCGA-HP-A5N0	2	4	2	LIHC.iCluster:2
TCGA.K7.A5RF.01	TCGA-K7-A5RF	2	3	2	LIHC.iCluster:2
TCGA.K7.A5RG.01	TCGA-K7-A5RG	3	1	1	LIHC.iCluster:2
TCGA.K7.A6G5.01	TCGA-K7-A6G5	3	3	2	LIHC.iCluster:2
TCGA.K7.AAU7.01	TCGA-K7-AAU7	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.KR.A7K0.01	TCGA-KR-A7K0	5	5	4	LIHC.iCluster:2
TCGA.KR.A7K2.01	TCGA-KR-A7K2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.KR.A7K7.01	TCGA-KR-A7K7	3	5	2	LIHC.iCluster:3
TCGA.KR.A7K8.01	TCGA-KR-A7K8	5	4	2	LIHC.iCluster:2
TCGA.LG.A6GG.01	TCGA-LG-A6GG	1	4	2	LIHC.iCluster:3
TCGA.LG.A9QC.01	TCGA-LG-A9QC	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.LG.A9QD.01	TCGA-LG-A9QD	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.MI.A75C.01	TCGA-MI-A75C	3	2	4	LIHC.iCluster:2
TCGA.MI.A75E.01	TCGA-MI-A75E	3	3	4	LIHC.iCluster:2
TCGA.MI.A75G.01	TCGA-MI-A75G	2	4	4	LIHC.iCluster:3
TCGA.MI.A75H.01	TCGA-MI-A75H	1	5	4	LIHC.iCluster:3
TCGA.MI.A75I.01	TCGA-MI-A75I	2	4	2	LIHC.iCluster:3
TCGA.MR.A520.01	TCGA-MR-A520	2	4	2	LIHC.iCluster:2
TCGA.MR.A8JO.01	TCGA-MR-A8JO	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.NI.A4U2.01	TCGA-NI-A4U2	2	4	2	LIHC.iCluster:2
TCGA.NI.A8LF.01	TCGA-NI-A8LF	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.O8.A75V.01	TCGA-O8-A75V	3	3	4	LIHC.iCluster:2
TCGA.PD.A5DF.01	TCGA-PD-A5DF	3	3	2	LIHC.iCluster:3
TCGA.QA.A7B7.01	TCGA-QA-A7B7	2	4	4	LIHC.iCluster:3
TCGA.RC.A6M3.01	TCGA-RC-A6M3	3	1	1	LIHC.iCluster:1
TCGA.RC.A6M4.01	TCGA-RC-A6M4	1	5	4	LIHC.iCluster:3
TCGA.RC.A6M5.01	TCGA-RC-A6M5	5	3	2	LIHC.iCluster:1
TCGA.RC.A6M6.01	TCGA-RC-A6M6	3	1	2	LIHC.iCluster:1
TCGA.RC.A7S9.01	TCGA-RC-A7S9	4	1	3	LIHC.iCluster:1
TCGA.RC.A7SB.01	TCGA-RC-A7SB	2	4	2	LIHC.iCluster:3
TCGA.RC.A7SF.01	TCGA-RC-A7SF	3	4	4	LIHC.iCluster:3
TCGA.RC.A7SH.01	TCGA-RC-A7SH	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.RC.A7SK.01	TCGA-RC-A7SK	2	4	2	LIHC.iCluster:3
TCGA.RG.A7D4.01	TCGA-RG-A7D4	3	5	2	LIHC.iCluster:3
TCGA.T1.A6J8.01	TCGA-T1-A6J8	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.UB.A7MA.01	TCGA-UB-A7MA	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.UB.A7MB.01	TCGA-UB-A7MB	1	4	2	LIHC.iCluster:2
TCGA.UB.A7MC.01	TCGA-UB-A7MC	1	5	1	LIHC.iCluster:3
TCGA.UB.A7MD.01	TCGA-UB-A7MD	3	5	2	LIHC.iCluster:3
TCGA.UB.A7ME.01	TCGA-UB-A7ME	4	1	1	LIHC.iCluster:1
TCGA.UB.A7MF.01	TCGA-UB-A7MF	3	1	3	LIHC.iCluster:1
TCGA.UB.AA0U.01	TCGA-UB-AA0U	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.UB.AA0V.01	TCGA-UB-AA0V	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.WJ.A86L.01	TCGA-WJ-A86L	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.WQ.A9G7.01	TCGA-WQ-A9G7	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.WQ.AB4B.01	TCGA-WQ-AB4B	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.WX.AA44.01	TCGA-WX-AA44	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.WX.AA46.01	TCGA-WX-AA46	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.WX.AA47.01	TCGA-WX-AA47	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.XR.A8TC.01	TCGA-XR-A8TC	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.XR.A8TD.01	TCGA-XR-A8TD	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.XR.A8TE.01	TCGA-XR-A8TE	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.XR.A8TF.01	TCGA-XR-A8TF	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.XR.A8TG.01	TCGA-XR-A8TG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.YA.A8S7.01	TCGA-YA-A8S7	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZP.A9CV.01	TCGA-ZP-A9CV	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZP.A9CY.01	TCGA-ZP-A9CY	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZP.A9CZ.01	TCGA-ZP-A9CZ	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZP.A9D0.01	TCGA-ZP-A9D0	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZP.A9D1.01	TCGA-ZP-A9D1	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZP.A9D2.01	TCGA-ZP-A9D2	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZP.A9D4.01	TCGA-ZP-A9D4	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZS.A9CD.01	TCGA-ZS-A9CD	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZS.A9CE.01	TCGA-ZS-A9CE	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZS.A9CF.01	TCGA-ZS-A9CF	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZS.A9CF.02	TCGA-ZS-A9CF	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ZS.A9CG.01	TCGA-ZS-A9CG	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.BC.A10S.11	TCGA-BC-A10S	3	3	4	LIHC.iCluster:2
TCGA.BC.A112.11	TCGA-BC-A112	5	1	3	LIHC.iCluster:1
TCGA.DD.A115.11	TCGA-DD-A115	5	4	2	LIHC.iCluster:3
TCGA.DD.A1E9.11	TCGA-DD-A1E9	miRNA.NA	mRNA.NA	4	LIHC.NA
TCGA.DD.A1E9.01	TCGA-DD-A1E9	miRNA.NA	mRNA.NA	4	LIHC.NA
TCGA.DD.A1ED.11	TCGA-DD-A1ED	5	5	2	LIHC.iCluster:1
TCGA.DD.A1EF.11	TCGA-DD-A1EF	1	1	3	LIHC.iCluster:1
TCGA.DD.A3A0.01	TCGA-DD-A3A0	1	mRNA.NA	1	LIHC.NA
TCGA.DD.AACM.01	TCGA-DD-AACM	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AADE.01	TCGA-DD-AADE	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.DD.AAE8.01	TCGA-DD-AAE8	miRNA.NA	mRNA.NA	meth.NA	LIHC.NA
TCGA.ES.A2HS.11	TCGA-ES-A2HS	2	3	4	LIHC.iCluster:2
TCGA.G3.A25W.11	TCGA-G3-A25W	3	mRNA.NA	4	LIHC.NA
TCGA.G3.A25W.01	TCGA-G3-A25W	3	mRNA.NA	4	LIHC.NA
TCGA.G3.A25X.11	TCGA-G3-A25X	5	1	3	LIHC.iCluster:1
